"","X","x","y","ID","Entity","Year","Time","Age","Sex","Disposition","TotL_ft","TotL_cm","SVL_cm","Weight_lbs","Weight_kg","Easting","Northing","GeneralLocation","Method","Additional_ID","County","Designation","Observer","Sentinel","EggCount","SizeEstimate","Percent_Hidden","SnakeTemp","AirTemp","ShadeTemp","GroundTemp","PavementTemp","BurowFeature","Microhabitat","Comments","Behavior","GlobalID","Breeding","Sector_I","Sector_II","Scout_2","Scout_3","Scout_4","Scout_5","Scout_Association","Date","timestamp"
"33",185,-81.6043958193741,26.0504998793766,"BP04-24FEB20","COSWFL",2020,1016,"Adult","Male","A",8.4,255,229,15.9,7.2,439418,2881417,"E. Sentel","Scout","","Collier","Six L's Agricultural","IB, IE, AlF","Donnie",NA,"",NA,NA,NA,NA,NA,NA,"","","caught in large aggregation in proximity to PYBI-45","Courting/Mating","{48F342C0-0C61-4C33-B9D3-3E8D17C918D6}","","North","","","","","","direct",2020-02-24,"2020-02-24 1016"
"34",186,-81.6603649801844,26.1266923839532,"BP01-25FEB20","COSWFL",2020,1024,"Adult","Male","A",9.8,299,257,23.2,10.5,433798,2889879,"Willow Run Quarry/ Belle Meade","Scout","PYBI-73 Mikey","Collier","Belle Meade","IE, AlF","Willow",NA,"",0,NA,NA,NA,NA,NA,"","","caught in aggregation with PYBI-68","Courting/Mating","{A4054562-5907-47E5-9AC5-5D28F5080724}","","North","East","","","","","direct",2020-02-25,"2020-02-25 1024"
"35",187,-81.6603649801844,26.1266923839532,"BP02-25FEB20","COSWFL",2020,1026,"Adult","Male","A",10.9,332,290,31.8,14.45,433798,2889878,"Willow Run Quarry / Belle Meade","Scout","PYBI-74","Collier","Belle Meade","IE, AlF","Willow",NA,"",0,NA,NA,NA,NA,NA,"","","caught in aggregation with PYBI-68","Courting/Mating","{91E00CE5-921A-4710-BFE0-2850A3AD5583}","","North","East","","","","","direct",2020-02-25,"2020-02-25 1026"
"36",191,-81.6365419260932,26.0343419990225,"BP01-04MAR20","COSWFL",2020,1306,"Adult","Female","A",10.7,326,291,30.6,13.9,436145,2879648,"Trinity Rd","Scout","","Collier","Six L's Agricultural Buffer"," IB, IE, AlF, AF","Estilo",19,"",NA,NA,NA,NA,NA,NA,"","","caught with PYBI-51 along backyard berms, permeated with armadillo burrows","Courting/Mating","{B8DCE972-197B-402B-95DC-915B2BD08ECB}","YES","North","East","","","","","direct",2020-03-04,"2020-03-04 1306"
"37",192,-81.686521302133,26.0733313921672,"BP01-09MAR20","COSWFL",2020,1540,"Adult","Male","A",13.1,400,349,53.4,24.2,431162,2883988,"Marco Raw Water","Scout","","Collier","Development"," IB, IE, AlF ","Johnny",NA,"",NA,NA,NA,NA,NA,NA,"","","caught basking on base of willow, tight coil basking. Caught after confirming Ca$h location on the way to confirming Johnny location ","Basking","{D2728B69-59D7-4B82-B80E-9DFF242165B9}","","North","East","Cash","","","","direct",2020-03-09,"2020-03-09 1540"
"38",193,-81.5927471614204,26.0137516453857,"BP01-11MAR20","COSWFL",2020,1143,"Adult","Female","A",9.9,302,267,33.3,15.1,440510,2877345,"Picayune - E of New Land (Six Ls)","Scout","","Collier","Six L's Agricultural Buffer"," IB, IE, AlF ","Loki",20,"",NA,NA,NA,NA,NA,NA,"","","caught nearby PYBI-71","Stretched Out","{A56AFF23-02A3-4E09-95F5-637753B5D474}","YES","North","East","","","","","direct",2020-03-11,"2020-03-11 1143"
"39",194,-81.6888575831531,26.0702222222199,"BP02-11MAR20","COSWFL",2020,1337,"Adult","Female","A",13,396,351,77.2,35,430924,2883641,"Marco Raw Water","Scout","","Collier","Development"," IB, IE, AlF","Ca$h",51,"",0,NA,NA,NA,NA,NA,"","","caught mating w/ BP03-11MAR20 w/ PYBI-58 nearby","Courting/Mating","{5D297461-C828-4125-BA33-043E2C797B0A}","YES","North","East","","","","","direct",2020-03-11,"2020-03-11 1337"
"40",195,-81.6888789337688,26.0701943430202,"BP03-11MAR20","COSWFL",2020,1337,"Adult","Male","A",9.7,297,257,18.1,8.2,430924,2883641,"Marco Raw Water","Scout","","Collier","Development"," IB, IE, AlF ","Ca$h",NA,"",NA,NA,NA,NA,NA,NA,"","","caught mating w/BP02-11MAR20 w/PYBI-58 nearby","Courting/Mating","{A33B5A8C-8B22-40E9-A0A7-D1D1DCC79B01}","","North","East","","","","","direct",2020-03-11,"2020-03-11 1337"
"41",196,-81.6294355157279,26.0493323790679,"BP01-12MAR20","COSWFL",2020,1008,"Adult","Male","A",8.7,266,231,15,6.8,436851,2881301,"W. Sentel","Scout","","Collier","Six L's Agricultural"," IB, IE, AlF","Lulu",NA,"",NA,NA,NA,NA,NA,NA,"","","caught mating with PYBI-64","Courting/Mating","{2FD569BF-0B4A-42BB-BACA-1A24F900D63D}","","North","East","","","","","direct",2020-03-12,"2020-03-12 1008"
"42",197,-81.6387745142165,26.0413196821467,"BP02-12MAR20","COSWFL",2020,1137,"Adult","Female","A",12.1,370,329,53.5,24.3,435918,2880420,"Pantanal feature","Scout","","Collier","Six L's Agricultural Buffer"," IB, IE, AlF","Franko",40,"",NA,NA,NA,NA,NA,NA,"","","found basking nearby PYBI-53","Basking","{7C1E620D-B674-4892-8986-A3671CDE759A}","YES","North","East","","","","","direct",2020-03-12,"2020-03-12 1137"
"43",198,-81.5964637109746,26.0124953631329,"BP01-25MAR20","COSWFL",2020,1110,"Adult","Female","A",10.1,309,271,33.5,15.2,440138,2877203,"Picayune — S of New Land (Six L’s)","Scout","","Collier","Six L's Agricultural Buffer"," IB, IE, AlF","Loki",NA,"",NA,NA,NA,NA,NA,NA,"","","","Shedding","{E34F6DBD-B2B6-471B-A832-B941521B39D2}","","North","East","","","","","indirect",2020-03-25,"2020-03-25 1110"
"44",199,-81.6068754435438,26.0632650010789,"BP02-10DEC20","COSWFL",2020,1215,"Adult","Female","A",13.9,424,372,71.4,32.4,439122,2882832,"agricultural retention","Scout","","Collier","Six L's Agricultural"," IB, IE, AlF","Donnie",NA,"",95,21.5,NA,NA,NA,NA,"","","escaping to water, shedding ","Submerged","{2B2399D9-ECB1-48EE-A2F2-C68FD8A98317}","","North","East","","","","","direct",2020-12-10,"2020-12-10 1215"
"45",200,-81.6581528273714,26.0969567019965,"BP01-17DEC20","COSWFL",2020,1402,"Adult","Male","A",9.9,303,265,32.5,14.75,434017,2886588,"Sabal Palm Rd","Scout","","Collier","Belle Meade"," IB, IE, ME","Timmy T",NA,"",NA,NA,NA,NA,NA,NA,"","","","","{0DEED224-1761-4896-82CB-A9D6CEEBE5CA}","","","","","","","","direct",2020-12-17,"2020-12-17 1402"
"46",201,-81.6053360915437,26.0755209211891,"BP03-18DEC20","COSWFL",2020,1151,"Adult","Female","A",11.4,348,308,53,24.1,439282,2884188,"","Scout","","Collier","Belle Meade","IB, IE, ME","Ronin",40,"",NA,NA,NA,NA,NA,NA,"","","","","{5AC06D7C-333F-4F34-BC02-5E377922C560}","YES","North","East","","","","","direct",2020-12-18,"2020-12-18 1151"
"47",203,-81.6575734656769,26.0784082321001,"BP01-04JAN21","COSWFL",2021,1135,"Adult","Female","A",13.4,408,361,80.8,36.65,434668,2884531,"Belle Meade","Scout","","Collier","Belle Meade","IB, IE, ME ","Ca$h",55,"",100,22,NA,NA,NA,NA,"","","","","{6B9C77E4-357A-4BB7-87DA-DA4E9C896AA4}","YES","North","East","","","","","direct",2021-01-04,"2021-01-04 1135"
"48",204,-81.6511781628183,26.0932257841099,"BP01-05JAN21","COSWFL",2021,1651,"Adult","Female","A",13.7,419,370,78.6,35.7,434714,2886176,"S Naples Citrus Grove","Scout","","Collier","Belle Meade","IB, IE, ME","Timmy T",59,"",0,29.5,NA,22.3999996185303,37,NA,"","","","Basking","{784D2D1D-40AB-4C57-ACDF-549421614672}","YES","North","East","","","","","direct",2021-01-05,"2021-01-05 1651"
"49",205,-81.6236135513267,26.0606261620872,"BP01-06JAN21","COSWFL",2021,1454,"Adult","Female","A",12.8,389,339,59.9,27.2,437447,2882544,"Rouge River Farms","Scout","","Collier","Six L's Agricultural","IB, IE, ME","Randy",46,"",100,23.2000007629395,NA,19.3999996185303,NA,NA,"","","","Undercover","{3CBA61C7-1ECC-46EC-B19E-C00AE9E299D5}","YES","North","East","","","","","direct",2021-01-06,"2021-01-06 1454"
"50",206,-81.6571930166525,26.0505891029508,"BP01-07JAN21","COSWFL",2021,1118,"Adult","Male","A",9,269,234,18.6,8.5,434082,2881453,"Greenway Rd","Scout","","Collier","Development","IB, IE, ME ","Dylan",NA,"",0,NA,NA,26.2000007629395,NA,NA,"","","","Basking","{A25DBA6B-C582-4BFE-87BE-B777DAEDF618}","","North","East","","","","","direct",2021-01-07,"2021-01-07 1118"
"51",207,-81.65707491447,26.0505254424891,"BP02-07JAN21","COSWFL",2021,1119,"Adult","Male","A",8.8,275,239,19.7,9,434094,2881446,"Greenway Rd","Scout","","Collier","Development"," IB, IE, ME","Dylan",NA,"",0,NA,NA,26.2000007629395,NA,NA,"","","","Courting/Mating","{F69C8E3D-3812-4C72-9CE0-9A54A63BFCA3}","","North","East","","","","","direct",2021-01-07,"2021-01-07 1119"
"52",208,-81.6570544633823,26.0506060764943,"BP03-07JAN21","COSWFL",2021,1121,"Adult","Female","A",14.7,449,396,115.8,52.5,434096,2881455,"Greenway Rd","Scout","","Collier","Development","IB, IE, ME ","Dylan",63,"",25,NA,NA,26.2000007629395,NA,NA,"","","","Basking","{DA3DC0B5-6CDC-42E6-95BC-C76E3272CB9F}","YES","North","East","","","","","direct",2021-01-07,"2021-01-07 1121"
"53",209,-81.6469294598546,26.0764934584469,"BP01-08JAN21","COSWFL",2021,1100,"Adult","Male","A",9.6,293,254,22.2,10.1,435311,2884315,"Belle Meade","Scout","","Collier","Belle Meade","IB, AlF","Johnny",NA,"",NA,NA,NA,NA,NA,NA,"","","","","{89439982-7ED3-43CE-AE12-1A1306654C1B}","","North","East","","","","","direct",2021-01-08,"2021-01-08 1100"
"54",210,-81.6577673498362,26.0792012954882,"BP01-18JAN21","COSWFL",2021,1415,"Adult","Male","A",9.5,289,249,20.8,9.5,434043,2884621,"Belle Meade","Scout","","Collier","Belle Meade"," IB,IE, ME","Ca$h",NA,"",NA,NA,NA,24.6000003814697,32.2999992370605,NA,"Natural","","","Stretched Out","{606D6DFD-DAA5-4F22-A7AA-07FFDA57B55F}","","North","East","","","","","direct",2021-01-18,"2021-01-18 1415"
"55",211,-81.6473940686911,26.0765486538671,"BP01-20JAN21","COSWFL",2021,1122,"Adult","Male","A",9.4,285,247,19.6,8.9,435079,2884319,"Belle Meade","Scout","","Collier","Belle Meade"," IB, IE, ME","Franko",NA,"",0,NA,NA,21.2000007629395,31.6000003814697,NA,"","On edge of NC in disturbed area","","Basking","{0B68ADD7-69A7-4D17-9368-29C87B7BD682}","","North","East","","","","","direct",2021-01-20,"2021-01-20 1122"
