"Snake_ID","season","id_season","pythons.removed","females","males","avg.total","avg.m","avg.f","ground","peak","search","sample.size","sample.size.core.A","sample.size.core.B","MCP_sqmi","MCP.core.A_sqmi","MCP.core.B_sqmi","overlap","overlap_core.A","overlap_core.B","trapdays.corrected.breeding.season","min.dist.mi.corrected","min.dist.core.A.mi.corrected","min.dist.core.B.mi.corrected"
"PYBI_74","2024-2025","PYBI_74_2024-2025",0,0,0,0,0,0,0,0,"",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
"PYBI_78","2019-2020","PYBI_78_2019-2020",0,0,0,0,0,0,0,0,"0",5,0,0,0.03,NA,NA,NA,NA,NA,NA,0.75,0,0
"PYBI_78","2020-2021","PYBI_78_2020-2021",3,3,0,31.37,0,31.37,19,13,"8",26,14,14,1.29,0.18,0.18,1,NA,NA,168,9.34,2.69,2.69
"PYBI_78","2021-2022","PYBI_78_2021-2022",0,0,0,0,0,0,13,9,"2",22,10,8,3.09,0.48,0.47,0.93,0.65,0.65,178,12.16,3.99,3.07
"PYBI_78","2022-2023","PYBI_78_2022-2023",1,1,0,115.2,0,115.2,16,13,"2",23,10,7,2.74,1.69,0.77,0.74,0,0,170,9.67,5.78,3.84
"PYBI_78","2023-2024","PYBI_78_2023-2024",0,0,0,0,0,0,1,0,"",2,0,0,NA,NA,NA,NA,NA,NA,8,0.16,0,0
"PYBI_79","2020-2021","PYBI_79_2020-2021",0,0,0,0,0,0,11,8,"4",21,11,11,3.34,1.33,1.42,NA,NA,NA,111,11.43,5.84,6.13
"PYBI_79","2021-2022","PYBI_79_2021-2022",1,1,0,93.1,0,93.1,11,6,"2",24,7,5,5.12,0.1,0.02,0.85,0,0,142,12.85,1.95,1.48
"PYBI_79","2022-2023","PYBI_79_2022-2023",1,1,0,74.9,0,74.9,13,6,"5",23,9,8,3.51,0.84,0.72,0.4,0,0,142,10.59,3.63,3.49
"PYBI_79","2023-2024","PYBI_79_2023-2024",2,1,1,50,16.1,83.9,8,4,"3",8,4,3,0.17,0.01,0.01,0,0,0,144,1.91,0.6,0.45
"PYBI_79","2024-2025","PYBI_79_2024-2025",0,0,0,0,0,0,1,0,"",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
"PYBI_81","2020-2021","PYBI_81_2020-2021",0,0,0,0,0,0,2,2,"1",5,2,3,0.05,NA,0,NA,NA,NA,54,1.27,0.03,0.2
"PYBI_81","2021-2022","PYBI_81_2021-2022",0,0,0,0,0,0,9,3,"",25,5,4,3.75,0.09,0.09,0,NA,0,176,4.45,0.9,0.86
