"Snake_ID","season","pythons.removed","males","females","avg.total","avg.m","avg.f","ground","peak","search","MCP_sqmi","MCP.core.A_sqmi","MCP.core.B_sqmi","df.inactive.days","trapdays.corrected.breeding.season","min.dist.mi.corrected","min.dist.core.A.mi","min.dist.core.B.mi","sample.size","sample.size.core.A","sample.size.core.B","overlap","tracked_years"
"PYBI_106","2023-2024",0,0,0,0,0,0,8,4,"",0.04,0,0,0,80,1.07,0.19,0.08,8,5,5,NA,NA
"PYBI_106","2024-2025",0,0,0,0,0,0,10,8,"3",0.06,0.02,0.01,0,124,2.08,1.4,0.64,10,6,5,NA,NA
"PYBI_107-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,0,0,0,12,0.19,0.19,0.19,3,3,3,NA,NA
"PYBI_107","2023-2024",0,0,0,0,0,0,1,0,"",1.46,0.38,0.38,0,48,6.06,1.73,1.73,7,4,4,NA,NA
"PYBI_107","2024-2025",0,0,0,0,0,0,7,3,"2",0.02,0,0,0,69,0.46,0.25,0.25,5,4,4,NA,NA
"PYBI_108","2023-2024",0,0,0,0,0,0,3,2,"2",1.55,0.48,0.66,14,41,5.8,2.82,3.14,7,4,5,NA,NA
"PYBI_108","2023-2024",0,0,0,0,0,0,3,2,"2",1.55,0.48,0.66,0,41,5.8,2.82,3.14,7,4,5,NA,NA
"PYBI_108","2024-2025",3,1,2,61.8,35.2,75.1,8,8,"8",0.21,0.14,0.14,0,134,2.92,2.1,1.94,11,8,6,NA,NA
"PYBI_109","2023-2024",0,0,0,0,0,0,2,1,"1",0.18,0,0,0,15,1.92,0,0.48,4,1,2,NA,NA
"PYBI_109","2024-2025",1,0,1,74.9,0,74.9,3,3,"3",1.01,0.1,0,0,90,4.07,1.31,0.68,7,4,3,NA,NA
"PYBI_11-T","2013-2014",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_11-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,0,0,0,NA,0,0,0,1,1,1,NA,NA
"PYBI_11","2013-2014",0,0,0,0,0,0,0,0,"0",0.04,NA,NA,0,NA,1.38,0,0,13,0,0,NA,NA
"PYBI_11","2014-2015",0,0,0,0,0,0,12,7,"7",0.17,0.02,0,0,147,1.69,0.86,0.11,13,6,5,NA,NA
"PYBI_110-T","2023-2024",0,0,0,0,0,0,0,0,"0",0.03,NA,0,0,21,0.64,0,0,4,0,1,NA,NA
"PYBI_110","2023-2024",0,0,0,0,0,0,3,0,"",0,0,0,0,NA,0.16,0,0,2,1,1,NA,NA
"PYBI_110","2024-2025",0,0,0,0,0,0,1,0,"",0,NA,NA,0,45,0,0,0,3,0,0,NA,NA
"PYBI_111-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,0,0,0,49,0.25,0.25,0.25,2,2,2,NA,NA
"PYBI_111","2024-2025",1,0,1,131.6,0,131.6,10,5,"4",0.36,0.26,0.2,0,135,4.3,3.35,2.63,12,8,7,NA,NA
"PYBI_112-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,0,0,0,NA,0,0,0,1,1,1,NA,NA
"PYBI_112","2024-2025",4,3,1,37.71,40.35,29.8,12,7,"5",0.14,0.12,0.08,0,94,2.8,2.46,2.45,13,12,10,NA,NA
"PYBI_113","2024-2025",0,0,0,0,0,0,2,2,"",2.37,2.37,1.32,0,74,5.35,5.35,4.9,6,6,5,NA,NA
"PYBI_114-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,0,0,0,50,0.19,0,0.19,2,1,2,NA,NA
"PYBI_114","2024-2025",0,0,0,0,0,0,8,3,"3",0.07,0.07,0.07,12,39,1.21,1.21,1.21,8,8,8,NA,NA
"PYBI_114","2024-2025",0,0,0,0,0,0,8,3,"3",0.07,0.07,0.07,0,39,1.21,1.21,1.21,8,8,8,NA,NA
"PYBI_115","2024-2025",0,0,0,0,0,0,3,3,"3",0,0,0,0,50,1.16,1.13,1.16,5,4,5,NA,NA
"PYBI_116","2024-2025",0,0,0,0,0,0,0,0,"",0,0,0,0,26,0.95,0.95,0.95,3,3,3,NA,NA
"PYBI_117-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,NA,0,0,NA,0,0,0,1,0,1,NA,NA
"PYBI_117","2024-2025",0,0,0,0,0,0,2,0,"",0,0,0,0,NA,0,0,0,1,1,1,NA,NA
"PYBI_118","2024-2025",0,0,0,0,0,0,0,0,"",0,0,0,0,NA,0,0,0,1,1,1,NA,NA
"PYBI_119","2024-2025",0,0,0,0,0,0,0,0,"",0,NA,0,0,NA,0,0,0,1,0,1,NA,NA
"PYBI_12","2013-2014",0,0,0,0,0,0,0,0,"0",0.04,NA,NA,0,NA,0.75,0,0,6,0,0,NA,NA
"PYBI_12","2014-2015",0,0,0,0,0,0,6,2,"2",0,NA,NA,0,49,0.85,0,0,7,0,0,NA,NA
"PYBI_13-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0.47,0,0,2,0,0,NA,NA
"PYBI_13-T","2017-2018",0,0,0,0,0,0,0,0,"0",0.16,0,NA,0,NA,1.6,0,0,4,1,0,NA,NA
"PYBI_13-T","2018-2019",0,0,0,0,0,0,0,0,"0",0.24,0,0,0,101,2.49,0.85,0,5,2,1,NA,NA
"PYBI_13-T","2023-2024",0,0,0,0,0,0,0,0,"0",0,0,0,0,NA,0.19,0,0,2,1,1,NA,NA
"PYBI_13-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,NA,0,0,105,0.07,0,0,2,0,1,NA,NA
"PYBI_13","2014-2015",0,0,0,0,0,0,30,28,"27",0.75,0.02,0.01,0,116,4.13,1.04,0.59,39,24,21,NA,NA
"PYBI_13","2015-2016",5,2,3,68.32,80.35,60.3,14,13,"10",0.98,0.09,0.09,0,168,10.11,1.96,2.02,35,12,13,NA,NA
"PYBI_13","2016-2017",3,2,1,55.13,33.05,99.3,19,14,"12",0.55,0.17,0.17,0,163,6.62,3.04,3.16,28,18,17,NA,NA
"PYBI_13","2017-2018",1,1,0,41.4,41.4,0,24,15,"15",0.81,0.15,0.21,0,143,7.6,2.99,3.29,32,16,17,NA,NA
"PYBI_13","2017-2018",1,1,0,41.4,41.4,0,24,15,"15",0.81,0.15,0.21,6,143,7.6,2.99,3.29,32,16,17,NA,NA
"PYBI_13","2018-2019",1,0,1,52.9,0,52.9,23,11,"11",0.95,0.18,0.18,0,158,6.35,1.93,2.26,21,13,13,NA,NA
"PYBI_13","2023-2024",0,0,0,0,0,0,4,0,"",0.11,0,0.03,0,21,1.26,0.22,0.55,5,2,3,NA,NA
"PYBI_13","2024-2025",1,0,1,70.9,0,70.9,6,3,"1",0.29,0.18,0.18,7,126,2.91,1.9,1.7,11,8,7,NA,NA
"PYBI_13","2024-2025",1,0,1,70.9,0,70.9,6,3,"1",0.29,0.18,0.18,0,126,2.91,1.9,1.7,11,8,7,NA,NA
"PYBI_14-T","2015-2016",0,0,0,0,0,0,0,0,"0",0,0,0,0,22,0.08,0.08,0.08,2,2,2,NA,NA
"PYBI_14","2014-2015",0,0,0,0,0,0,22,20,"18",1.09,0.09,0.09,0,106,8.7,3.27,2.68,29,18,16,NA,NA
"PYBI_14","2015-2016",3,1,2,55.87,24.6,71.5,19,11,"9",0.56,0.12,0.01,0,168,4.62,1.49,0.36,22,10,7,NA,NA
"PYBI_15-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_15","2014-2015",0,0,0,0,0,0,8,2,"2",0.85,0,0,0,76,6.7,0.15,0.22,21,7,8,NA,NA
"PYBI_15","2015-2016",1,0,1,74.4,0,74.4,7,4,"5",0.85,0.2,0.02,0,119,7.12,2.91,0.85,11,6,4,NA,NA
"PYBI_16-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,NA,0,0,NA,0,0,0,1,0,1,NA,NA
"PYBI_16","2014-2015",1,1,0,55,55,0,21,18,"14",0.06,0.03,0.03,0,94,2.2,1.55,1.55,30,15,15,NA,NA
"PYBI_17-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,0,0,0,NA,0.34,0,0,2,1,1,NA,NA
"PYBI_17-T","2015-2016",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_17-T","2016-2017",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_17","2014-2015",2,0,2,60,0,60,21,20,"15",1.09,0.02,0.08,0,90,5.72,2.02,2.32,29,16,17,NA,NA
"PYBI_17","2015-2016",0,0,0,0,0,0,14,10,"10",1.35,0.71,0.45,0,168,11.81,6.68,4.88,38,14,12,NA,NA
"PYBI_17","2016-2017",0,0,0,0,0,0,16,11,"13",0.08,0.08,0.08,0,157,1.6,1.18,1.17,17,11,12,NA,NA
"PYBI_18","2014-2015",0,0,0,0,0,0,14,14,"14",0.14,0,0.02,0,83,1.7,0.13,0.52,16,13,14,NA,NA
"PYBI_19-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_19-T","2015-2016",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_19-T","2016-2017",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_19-T","2017-2018",0,0,0,0,0,0,0,0,"0",0,0,NA,0,NA,0.32,0,0,2,1,0,NA,NA
"PYBI_19-T","2018-2019",0,0,0,0,0,0,0,0,"0",1.12,0.02,0.02,0,126,4.8,0.68,0.68,10,3,3,NA,NA
"PYBI_19-T","2019-2020",0,0,0,0,0,0,0,0,"0",0.1,0,0,0,135,2.14,0,0,4,1,1,NA,NA
"PYBI_19-T","2020-2021",0,0,0,0,0,0,0,0,"0",0.95,0.03,0.01,0,141,6.19,0.85,0.55,14,5,5,NA,NA
"PYBI_19-T","2021-2022",0,0,0,0,0,0,0,0,"0",0.03,NA,NA,0,42,0.7,0,0,4,0,0,NA,NA
"PYBI_19-T","2022-2023",0,0,0,0,0,0,0,0,"0",0.13,0,0,0,93,2.46,0,0,4,1,1,NA,NA
"PYBI_19-T","2023-2024",0,0,0,0,0,0,0,0,"0",0.04,NA,0,0,NA,1.59,0,0,3,0,1,NA,NA
"PYBI_19-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_19","2014-2015",0,0,0,0,0,0,13,13,"13",0.53,0.04,0.05,0,64,4.07,0.66,0.79,25,12,13,NA,NA
"PYBI_19","2015-2016",3,2,1,37.57,25.8,61.1,15,12,"11",1.21,0.34,0.02,0,169,10.85,2.14,1.11,37,10,8,NA,NA
"PYBI_19","2016-2017",1,0,1,90,0,90,21,19,"18",2.37,0.31,0.31,0,176,11.58,4.24,3.08,35,19,13,NA,NA
"PYBI_19","2017-2018",0,0,0,0,0,0,15,12,"11",2.92,0.57,0.25,20,149,11.74,4.79,4.38,30,10,9,NA,NA
"PYBI_19","2017-2018",0,0,0,0,0,0,15,12,"11",2.92,0.57,0.25,0,149,11.74,4.79,4.38,30,10,9,NA,NA
"PYBI_19","2018-2019",1,0,1,37.3,0,37.3,23,16,"13",3.09,0.12,0.12,0,148,9.35,1.26,1.09,29,10,9,NA,NA
"PYBI_19","2019-2020",2,1,1,26.8,12.8,40.8,19,15,"9",1.75,0.38,0.32,0,146,9.44,3.49,3.27,28,11,10,NA,NA
"PYBI_19","2019-2020",2,1,1,26.8,12.8,40.8,19,15,"9",1.75,0.38,0.32,1,146,9.44,3.49,3.27,28,11,10,NA,NA
"PYBI_19","2020-2021",1,0,1,57.3,0,57.3,14,6,"2",1.6,0.13,0.05,0,100,5.47,2,1.29,13,7,6,NA,NA
"PYBI_19","2021-2022",0,0,0,0,0,0,11,6,"2",1,0.28,0.2,0,130,5.19,1.69,1.42,14,7,6,NA,NA
"PYBI_19","2022-2023",1,0,1,28.2,0,28.2,8,3,"1",0.74,0,0.02,0,154,5.48,0.32,0.58,13,3,3,NA,NA
"PYBI_19","2023-2024",0,0,0,0,0,0,7,4,"1",0.41,0.41,0.41,0,99,4.12,3.47,3.47,10,7,7,NA,NA
"PYBI_19","2023-2024",0,0,0,0,0,0,7,4,"1",0.41,0.41,0.41,22,99,4.12,3.47,3.47,10,7,7,NA,NA
"PYBI_19","2024-2025",5,4,1,40.96,27.58,94.5,6,3,"2",0.37,0.03,0.02,0,85,2.53,0.72,0.4,7,5,4,NA,NA
"PYBI_20-T","2015-2016",0,0,0,0,0,0,0,0,"0",0.02,NA,0,0,171,0.55,0,0,4,0,1,NA,NA
"PYBI_20","2014-2015",0,0,0,0,0,0,11,10,"10",0.42,0,0,0,42,5.29,0.14,0.22,32,5,8,NA,NA
"PYBI_20","2015-2016",0,0,0,0,0,0,14,2,"1",0.48,0.05,0.07,0,169,5.44,0.8,0.92,22,6,6,NA,NA
"PYBI_20","2016-2017",0,0,0,0,0,0,6,5,"4",0.24,0.02,0.02,0,175,2.85,0.57,0.81,16,5,6,NA,NA
"PYBI_21-T","2015-2016",0,0,0,0,0,0,0,0,"0",0,0,NA,0,4,0.24,0.24,0,2,2,0,NA,NA
